id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
186,15,14,11,10,12,13,28,36,3,1,16,2,29,5,23,4,19,22,20,18,17,26,37,35,7,6,21,9,32,30,8,25,34,0,33,24,31,27
206,16,17,13,19,10,36,28,3,11,1,2,15,29,5,23,14,18,4,22,20,12,37,7,6,26,35,9,21,8,32,30,25,0,34,33,24,31,27
208,17,16,19,13,10,18,11,28,36,3,15,1,23,2,29,5,14,4,22,37,12,20,9,7,6,35,21,26,8,32,30,25,0,34,33,24,27,31
215,18,19,20,3,16,10,13,1,28,36,2,5,11,29,15,4,17,23,14,22,37,7,35,6,12,26,9,21,8,32,25,30,34,0,33,24,27,31
232,19,18,17,16,10,13,28,36,3,11,1,2,15,23,29,5,20,22,14,4,37,12,7,6,35,9,26,21,8,32,25,30,34,0,33,24,27,31
306,20,18,28,36,3,13,11,10,1,5,15,2,29,14,22,19,23,4,16,12,37,35,7,26,17,6,21,9,32,25,8,30,34,33,0,31,27,24
506,21,23,22,16,28,5,15,10,11,19,3,1,13,2,14,18,36,29,20,4,17,35,12,7,37,6,9,26,32,25,8,30,34,33,0,24,31,27
507,22,23,13,28,10,3,36,1,29,2,11,16,15,5,21,14,20,4,19,18,17,12,35,37,7,6,26,9,32,30,8,25,34,0,33,24,31,27
508,23,21,22,16,13,10,28,36,3,11,1,15,2,5,29,14,19,4,18,17,20,35,37,12,7,26,6,9,8,32,30,25,34,0,33,24,31,27
712,24,35,29,32,2,23,22,1,4,16,15,30,14,19,17,18,5,11,12,3,10,28,7,6,36,25,13,21,9,34,20,33,26,31,37,27,8,0
1049,25,34,33,27,35,31,30,32,29,14,23,28,20,11,18,12,16,1,15,22,3,10,2,13,19,5,36,4,17,37,21,9,26,7,6,8,24,0
1055,26,36,29,1,28,13,2,3,5,10,15,11,4,16,14,23,7,18,6,20,19,22,12,35,17,32,37,9,21,8,30,0,25,34,33,31,24,27
1056,27,31,34,33,25,30,32,35,29,14,12,23,18,22,20,11,15,16,19,2,5,1,3,26,4,37,28,17,10,13,24,9,21,36,7,6,8,0
1081,28,36,13,10,3,1,11,2,15,16,5,29,14,4,23,19,20,22,18,17,26,12,7,37,6,35,9,21,8,32,25,30,0,34,33,24,31,27
1082,29,13,10,28,3,1,36,2,11,15,5,16,14,4,23,22,19,18,20,26,35,32,12,17,7,30,6,37,9,21,25,8,33,34,31,0,27,24
1096,30,32,31,27,25,33,34,29,35,14,23,12,11,15,16,22,2,1,3,5,28,13,20,10,18,4,19,17,36,7,26,37,9,6,21,8,24,0
1098,31,27,33,34,30,25,32,35,29,14,12,23,22,18,20,11,2,15,5,16,1,26,19,4,3,24,9,10,28,13,17,21,7,6,36,8,37,0
1109,32,30,27,31,29,33,35,34,25,26,14,2,16,1,15,11,3,23,5,22,13,12,18,28,10,4,19,20,36,17,7,6,37,9,21,8,24,0
1114,33,31,27,34,25,35,30,32,29,14,23,18,20,12,11,22,2,1,5,15,19,16,3,28,10,13,4,26,36,17,21,9,7,6,37,24,8,0
1115,34,27,25,33,35,31,30,32,29,14,23,18,20,11,28,12,22,1,15,2,3,16,19,5,10,13,26,36,4,37,17,9,21,7,6,24,8,0
1116,35,33,34,25,29,27,31,32,30,23,11,14,13,10,1,3,15,28,2,5,18,36,16,20,22,4,12,19,37,17,26,7,6,21,9,8,24,0
1214,36,28,13,10,3,1,11,2,15,16,5,29,4,14,23,19,20,18,22,26,37,17,12,7,6,35,9,21,8,32,25,30,0,34,33,24,27,31
1218,37,36,13,10,16,28,3,11,15,2,1,23,18,29,5,19,14,20,22,17,4,35,12,7,6,26,9,21,8,32,30,25,34,0,33,27,24,31
