id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1056,27,31,35,30,13,5,33,1,23,3,2,7,11,18,16,4,10,28,34,24,12,25,29,20,15,21,17,36,14,8,26,32,22,6,37,19,9,0
1081,28,36,3,13,5,1,23,2,18,16,11,27,31,10,7,35,4,26,17,15,24,12,33,20,21,37,29,14,8,25,34,30,22,6,19,9,32,0
1082,29,33,31,35,13,5,10,23,18,1,27,3,20,7,4,2,11,34,16,24,28,26,22,8,6,21,12,15,17,19,30,37,36,14,25,9,32,0
1096,30,27,31,34,35,13,23,11,5,32,18,2,1,33,3,7,10,16,4,12,28,24,15,20,21,17,14,29,26,8,25,36,6,22,19,37,9,0
1098,31,27,33,13,35,5,1,3,23,11,7,29,2,18,30,25,4,10,34,24,16,28,12,20,17,15,21,8,36,26,22,14,37,6,19,32,9,0
1109,32,30,27,31,13,7,16,18,5,35,10,23,33,2,1,3,17,11,26,4,24,12,28,29,37,20,21,8,15,6,36,34,14,22,19,9,25,0
1114,33,31,29,27,35,13,5,1,10,3,18,7,23,2,34,11,4,20,25,16,24,28,26,30,12,8,22,15,21,17,6,36,19,37,14,9,32,0
1115,34,35,31,25,33,30,27,13,5,3,11,1,10,29,23,18,7,4,2,12,28,20,15,16,22,24,36,8,26,14,21,6,17,37,19,9,32,0
1116,35,13,5,27,31,33,34,23,10,3,1,18,7,2,29,11,20,4,28,16,30,26,24,12,8,21,6,22,15,19,37,17,36,14,25,9,32,0
1214,36,28,37,16,27,31,5,26,13,2,1,25,18,7,3,23,10,35,11,4,33,24,12,17,15,34,20,21,14,8,29,22,30,6,19,32,9,0
1218,37,36,5,13,35,2,10,31,28,18,7,27,1,26,16,23,33,3,24,11,4,20,8,29,17,12,21,6,34,22,30,15,19,14,25,9,32,0
